fixture,key_hex,width,height,tolerance,edge,spill,backdrop_pixels,subject_pixels,tp,fp,fn,precision,recall,iou
shadow-spill-green,#00b140,320,240,5,0,0,55459,21341,26512,0,28947,1.000000,0.478047,0.478047
shadow-spill-green,#00b140,320,240,10,0,0,55459,21341,28431,0,27028,1.000000,0.512649,0.512649
shadow-spill-green,#00b140,320,240,15,0,0,55459,21341,30100,0,25359,1.000000,0.542743,0.542743
shadow-spill-green,#00b140,320,240,20,0,0,55459,21341,31982,0,23477,1.000000,0.576678,0.576678
shadow-spill-green,#00b140,320,240,25,0,0,55459,21341,34534,2,20925,0.999942,0.622694,0.622672
shadow-spill-green,#00b140,320,240,30,0,0,55459,21341,39051,486,16408,0.987708,0.704142,0.698025
shadow-spill-green,#00b140,320,240,35,0,0,55459,21341,49277,1234,6182,0.975570,0.888530,0.869190
shadow-spill-green,#00b140,320,240,40,0,0,55459,21341,55459,1936,0,0.966269,1.000000,0.966269
shadow-spill-green,#00b140,320,240,45,0,0,55459,21341,55459,2610,0,0.955053,1.000000,0.955053
shadow-spill-green,#00b140,320,240,50,0,0,55459,21341,55459,3285,0,0.944079,1.000000,0.944079
shadow-spill-green,#00b140,320,240,55,0,0,55459,21341,55459,3990,0,0.932884,1.000000,0.932884
shadow-spill-green,#00b140,320,240,60,0,0,55459,21341,55459,4646,0,0.922702,1.000000,0.922702
shadow-spill-green,#00b140,320,240,65,0,0,55459,21341,55459,5291,0,0.912905,1.000000,0.912905
shadow-spill-green,#00b140,320,240,70,0,0,55459,21341,55459,5937,0,0.903300,1.000000,0.903300
shadow-spill-green,#00b140,320,240,75,0,0,55459,21341,55459,6585,0,0.893866,1.000000,0.893866
shadow-spill-green,#00b140,320,240,80,0,0,55459,21341,55459,7202,0,0.885064,1.000000,0.885064
shadow-spill-green,#00b140,320,240,85,0,0,55459,21341,55459,7820,0,0.876420,1.000000,0.876420
shadow-spill-green,#00b140,320,240,90,0,0,55459,21341,55459,15857,0,0.777652,1.000000,0.777652
shadow-spill-green,#00b140,320,240,95,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
shadow-spill-green,#00b140,320,240,100,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
flat-blue,#0047bb,320,240,0,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,5,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,10,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,15,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,20,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,25,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,30,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,35,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,40,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,45,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,50,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,55,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,60,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
